rozmiar macierzy,gęstość,czas,narzędzie,cpu
64,1.0,0.11397505,procesy,16
128,0.3,0.142215133,procesy,16
128,0.6,0.140115766,procesy,16
128,1.0,0.229387488,procesy,16
256,0.3,0.458288211,procesy,16
256,0.6,0.750487998,procesy,16
256,1.0,0.241956446,procesy,16
512,0.3,1.046022811,procesy,16
512,0.6,1.09530515,procesy,16
512,1.0,0.946096929,procesy,16
1024,0.3,7.996448589,procesy,16
1024,0.6,8.667795961,procesy,16
1024,1.0,8.435315526,procesy,16
2048,0.3,85.744941651,procesy,16
2048,0.6,79.067052116,procesy,16
2048,1.0,94.782029899,procesy,16
16,0.3,0.487459852,wątki,8
16,0.6,0.000314826,wątki,8
16,1.0,0.000307246,wątki,8
32,0.3,0.000569728,wątki,8
32,0.6,0.000684076,wątki,8
32,1.0,0.000539206,wątki,8
64,0.3,0.00211861,wątki,8
64,0.6,0.002088757,wątki,8
64,1.0,0.002250723,wątki,8
128,0.3,0.021839402,wątki,8
128,0.6,0.02574954,wątki,8
128,1.0,0.020891859,wątki,8
256,0.3,0.166363854,wątki,8
256,0.6,0.167747551,wątki,8
256,1.0,0.166859064,wątki,8
512,0.3,3.583869483,wątki,8
512,0.6,3.617924002,wątki,8
512,1.0,3.11843365,wątki,8
1024,0.3,30.588687209,wątki,8
1024,0.6,35.141331516,wątki,8
1024,1.0,31.137377173,wątki,8
2048,0.3,352.492088353,wątki,8
2048,0.6,406.068999815,wątki,8
2048,1.0,341.925856533,wątki,8
16,0.3,0.448405347,wątki,12
16,0.6,0.000375286,wątki,12
16,1.0,0.000266083,wątki,12
32,0.3,0.000402507,wątki,12
32,0.6,0.000475258,wątki,12
32,1.0,0.000636739,wątki,12
64,0.3,0.002602431,wątki,12
64,0.6,0.002269842,wątki,12
64,1.0,0.006713482,wątki,12
128,0.3,0.021936336,wątki,12
128,0.6,0.033918086,wątki,12
128,1.0,0.02448441,wątki,12
256,0.3,0.192401777,wątki,12
256,0.6,0.15598618,wątki,12
256,1.0,0.160413953,wątki,12
512,0.3,3.023898513,wątki,12
512,0.6,3.190562746,wątki,12
512,1.0,3.003235154,wątki,12
1024,0.3,26.458232631,wątki,12
1024,0.6,35.17911151,wątki,12
1024,1.0,32.825092774,wątki,12
2048,0.3,303.762587093,wątki,12
2048,0.6,277.610132067,wątki,12
2048,1.0,343.628603873,wątki,12
16,0.3,0.486198603,wątki,16
16,0.6,0.000395828,wątki,16
16,1.0,0.000390828,wątki,16
32,0.3,0.000492127,wątki,16
32,0.6,0.00038,wątki,16
32,1.0,0.000431074,wątki,16
64,0.3,0.004940784,wątki,16
64,0.6,0.002083967,wątki,16
64,1.0,0.002452348,wątki,16
128,0.3,0.022971497,wątki,16
128,0.6,0.019894479,wątki,16
128,1.0,0.022087794,wątki,16
256,0.3,0.165128423,wątki,16
256,0.6,0.158547046,wątki,16
256,1.0,0.194693463,wątki,16
512,0.3,3.164272012,wątki,16
512,0.6,3.247940436,wątki,16
512,1.0,2.717175805,wątki,16
1024,0.3,23.099593465,wątki,16
1024,0.6,28.508693832,wątki,16
1024,1.0,25.813517938,wątki,16
2048,0.3,287.08796038,wątki,16
2048,0.6,289.46598754,wątki,16
2048,1.0,319.780516516,wątki,16
16,0.3,1.054104381,MPI,2
16,0.6,0.000237805,MPI,2
16,1.0,0.000171217,MPI,2
32,0.3,0.000818507,MPI,2
32,0.6,0.000803153,MPI,2
32,1.0,0.001176629,MPI,2
64,0.3,0.015585514,MPI,2
64,0.6,0.005372376,MPI,2
64,1.0,0.006800731,MPI,2
128,0.3,0.048778266,MPI,2
128,0.6,0.046564588,MPI,2
128,1.0,0.042654824,MPI,2
256,0.3,0.303131891,MPI,2
256,0.6,0.310946397,MPI,2
256,1.0,0.35210098,MPI,2
512,0.3,4.931319993,MPI,2
512,0.6,5.995436417,MPI,2
512,1.0,4.028712946,MPI,2
1024,0.3,129.679186325,MPI,2
1024,0.6,92.572088193,MPI,2
1024,1.0,93.926877004,MPI,2
2048,0.3,1142.742228416,MPI,2
2048,0.6,1282.087122879,MPI,2
2048,1.0,1420.529205767,MPI,2
16,0.3,1.130700286,MPI,4
16,0.6,0.000242799,MPI,4
16,1.0,0.000221511,MPI,4
32,0.3,0.000903227,MPI,4
32,0.6,0.000940006,MPI,4
32,1.0,0.000941486,MPI,4
64,0.3,0.01413631,MPI,4
64,0.6,0.004602561,MPI,4
64,1.0,0.004543515,MPI,4
128,0.3,0.055168617,MPI,4
128,0.6,0.027993145,MPI,4
128,1.0,0.041505114,MPI,4
256,0.3,0.161409383,MPI,4
256,0.6,0.1878057,MPI,4
256,1.0,0.192466997,MPI,4
512,0.3,2.061681505,MPI,4
512,0.6,1.932912397,MPI,4
512,1.0,1.936670514,MPI,4
1024,0.3,47.916275662,MPI,4
1024,0.6,50.454168947,MPI,4
1024,1.0,52.752150067,MPI,4
2048,0.3,812.409471304,MPI,4
2048,0.6,814.029880468,MPI,4
2048,1.0,712.637298186,MPI,4
16,0.3,0.459732698,wątki,4
16,0.6,0.000203815,wątki,4
16,1.0,0.00014571,wątki,4
32,0.3,0.000450751,wątki,4
32,0.6,0.000391785,wątki,4
32,1.0,0.000550553,wątki,4
64,0.3,0.00304133,wątki,4
64,0.6,0.003026608,wątki,4
64,1.0,0.003107234,wątki,4
128,0.3,0.025179883,wątki,4
128,0.6,0.020473614,wątki,4
128,1.0,0.02090537,wątki,4
256,0.3,0.154514627,wątki,4
256,0.6,0.175186494,wątki,4
256,1.0,0.149926759,wątki,4
512,0.3,5.330576348,wątki,4
512,0.6,5.238401195,wątki,4
512,1.0,7.776545656,wątki,4
1024,0.3,57.088284984,wątki,4
1024,0.6,59.247128628,wątki,4
1024,1.0,57.048245431,wątki,4
2048,0.3,1261.905248251,wątki,4
2048,0.6,825.680754056,wątki,4
2048,1.0,656.142420657,wątki,4
16,0.3,0.627645149,wątki,2
16,0.6,0.000227649,wątki,2
16,1.0,0.000280466,wątki,2
32,0.3,0.000661707,wątki,2
32,0.6,0.000805961,wątki,2
32,1.0,0.000797933,wątki,2
64,0.3,0.005716028,wątki,2
64,0.6,0.005667184,wątki,2
64,1.0,0.006041453,wątki,2
128,0.3,0.068221746,wątki,2
128,0.6,0.062492487,wątki,2
128,1.0,0.069142681,wątki,2
256,0.3,0.444137552,wątki,2
256,0.6,0.510785747,wątki,2
256,1.0,0.525205444,wątki,2
512,0.3,10.313003105,wątki,2
512,0.6,10.853677182,wątki,2
512,1.0,11.73801186,wątki,2
1024,0.3,108.199743523,wątki,2
1024,0.6,120.286107392,wątki,2
1024,1.0,110.347978752,wątki,2
2048,0.3,1392.336966052,wątki,2
2048,0.6,1225.860817186,wątki,2
